arquivo,categoria,fonte,url,url_imagem,autor,licenca,data_coleta
lambe_lambe_unicamp_0861.jpg,lambe-lambe,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Fot%C3%B3grafo_lambe-lambe,_Centro_de_Mem%C3%B3ria_-_Unicamp_(APS_1.1.0861).jpg",https://upload.wikimedia.org/wikipedia/commons/c/cb/Fot%C3%B3grafo_lambe-lambe%2C_Centro_de_Mem%C3%B3ria_-_Unicamp_%28APS_1.1.0861%29.jpg,Centro de Memória - Unicamp,CC BY-SA 4.0,2026-06-26
lambe_lambe_pantoja.jpg,lambe-lambe,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fot%C3%B3grafo_lambe-lambe_(4639741107).jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Fot%C3%B3grafo_lambe-lambe_%284639741107%29.jpg,Luiz Pantoja (São Paulo),CC BY 2.0,2026-06-26
lambe_lambe_ultimo.jpg,lambe-lambe,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:%C3%9Altimo_lambe-lambe.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/%C3%9Altimo_lambe-lambe.jpg,marcusrg (Nova Friburgo),CC BY 2.0,2026-06-26
lambe_lambe_hayasaka.jpg,lambe-lambe,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Lambe-lambe_(5475921647).jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Lambe-lambe_%285475921647%29.jpg,Eli Kazuyuki Hayasaka (São Paulo),CC BY-SA 2.0,2026-06-26
tintype_dama_idosa.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Bust_portrait,_elderly_lady._Cased_tintype,_sixth_plate.jpg",https://upload.wikimedia.org/wikipedia/commons/0/03/Bust_portrait%2C_elderly_lady._Cased_tintype%2C_sixth_plate.jpg,Beinecke Library,CC BY 2.0,2026-06-26
tintype_menino_boutonniere.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Bust_portrait,_young_boy_with_boutin-_niere._Cased_tintype,_gem_tintype_case,_sixteenth_plate.jpg",https://upload.wikimedia.org/wikipedia/commons/7/72/Bust_portrait%2C_young_boy_with_boutin-_niere._Cased_tintype%2C_gem_tintype_case%2C_sixteenth_plate.jpg,Beinecke Library,CC BY 2.0,2026-06-26
tintype_soldado_kepi.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Gem_portrait,_soldier_with_kepi._Cased_tintype,_ninth_plate.jpg",https://upload.wikimedia.org/wikipedia/commons/4/43/Gem_portrait%2C_soldier_with_kepi._Cased_tintype%2C_ninth_plate.jpg,Beinecke Library,CC BY 2.0,2026-06-26
tintype_familia_cinco.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Group_portrait,_family_of_five,_Cased_tintype,_half_plate.jpg",https://upload.wikimedia.org/wikipedia/commons/8/88/Group_portrait%2C_family_of_five%2C_Cased_tintype%2C_half_plate.jpg,Beinecke Library,CC BY 2.0,2026-06-26
tintype_jovem_joias.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Half-length_portrait,_seated_young_woman_with_tinted_gold_jewelry._Tintype,_sixth_plate.jpg",https://upload.wikimedia.org/wikipedia/commons/3/3e/Half-length_portrait%2C_seated_young_woman_with_tinted_gold_jewelry._Tintype%2C_sixth_plate.jpg,Beinecke Library,CC BY 2.0,2026-06-26
tintype_menino_flor.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Half-length_portrait,_young_boy_seated_with_flower_in_lapel._Cased_tintype,_sixth_plate.jpg",https://upload.wikimedia.org/wikipedia/commons/7/78/Half-length_portrait%2C_young_boy_seated_with_flower_in_lapel._Cased_tintype%2C_sixth_plate.jpg,Beinecke Library,CC BY 2.0,2026-06-26
